data,close,rsi_force,rsi_oversold,rsi_overbought,rsi_above50,rsi_cross50,macd_force,macd_signal_force,macd_hist,macd_hist_dir,macd_cross,price_sma50_force,price_sma200_force,sma_trend_force,ema_short_force,golden_death_cross,ema_cross,bb_position,bb_vol_force,bb_above_upper,bb_below_lower,obv_trend_force,obv_cross,vol_force,vol_high,label
2022-01-18,31.64,0.422268,0.0,1.0,1.0,0.0,0.010844,0.005066,0.002889,1.0,0.0,0.051946,0.074215,0.022355,0.012337,0.0,0.0,1.0,0.104894,1.0,0.0,0.009733,0.0,0.159404,0.0,1
2022-01-19,31.49,0.384856,0.0,0.0,1.0,0.0,0.01201,0.006455,0.002778,-1.0,0.0,0.047606,0.071178,0.023651,0.013219,0.0,0.0,0.883676,0.137685,0.0,0.0,0.010863,0.0,0.167432,0.0,1
2022-01-20,31.72,0.410463,0.0,1.0,1.0,0.0,0.013064,0.007776,0.002644,-1.0,0.0,0.049289,0.074085,0.024887,0.01397,0.0,0.0,0.848456,0.165621,0.0,0.0,0.012684,0.0,0.19497,0.0,0
2022-01-21,31.77,0.416154,0.0,1.0,1.0,0.0,0.013786,0.008978,0.002404,-1.0,0.0,0.048297,0.074165,0.025962,0.014311,0.0,0.0,0.76667,0.182757,0.0,0.0,0.014684,0.0,0.020494,0.0,1
2022-01-24,31.95,0.437212,0.0,1.0,1.0,0.0,0.014407,0.010064,0.002172,-1.0,0.0,0.049209,0.076255,0.027147,0.014568,0.0,0.0,0.736785,0.197684,0.0,0.0,0.017005,0.0,0.126072,0.0,0
2022-01-25,32.99,0.540368,0.0,1.0,1.0,0.0,0.016013,0.011254,0.002379,1.0,0.0,0.062928,0.091345,0.028581,0.016149,0.0,0.0,0.931686,0.23379,0.0,0.0,0.019757,0.0,0.210815,0.0,-1
2022-01-26,33.87,0.606151,0.0,1.0,1.0,0.0,0.018131,0.012629,0.002751,1.0,0.0,0.07368,0.103467,0.030015,0.018345,0.0,0.0,1.0,0.274987,1.0,0.0,0.022775,0.0,0.187572,0.0,-1
2022-01-27,33.88,0.606839,0.0,1.0,1.0,0.0,0.019544,0.014012,0.002766,1.0,0.0,0.071582,0.102694,0.031342,0.019541,0.0,0.0,0.881301,0.29452,0.0,0.0,0.02583,0.0,0.126587,0.0,-1
2022-01-28,32.54,0.283101,0.0,0.0,1.0,0.0,0.018792,0.014968,0.001912,-1.0,0.0,0.049461,0.081912,0.032584,0.017916,0.0,0.0,0.480601,0.281759,0.0,0.0,0.026413,0.0,0.226929,0.0,1
2022-01-31,32.35,0.244805,0.0,0.0,1.0,0.0,0.017758,0.015526,0.001116,-1.0,0.0,0.044576,0.07825,0.033792,0.0161,0.0,0.0,0.389021,0.271289,0.0,0.0,0.025796,0.0,-0.087717,0.0,0
2022-02-01,33.0,0.31962,0.0,0.0,1.0,0.0,0.017524,0.015926,0.000799,-1.0,0.0,0.052178,0.087352,0.035335,0.015498,0.0,0.0,0.507078,0.265114,0.0,0.0,0.025684,0.0,-0.131941,0.0,0
2022-02-02,32.52,0.223246,0.0,0.0,1.0,0.0,0.016562,0.016053,0.000254,-1.0,0.0,0.042806,0.079232,0.036551,0.014011,0.0,0.0,0.341813,0.229584,0.0,0.0,0.024861,0.0,-0.333858,0.0,0
2022-02-03,32.07,0.139246,0.0,0.0,1.0,0.0,0.015078,0.015858,-0.00039,-1.0,-1.0,0.034423,0.071489,0.037157,0.011958,0.0,0.0,0.176167,0.179461,0.0,0.0,0.023338,0.0,-0.170741,0.0,0
2022-02-04,32.63,0.211785,0.0,0.0,1.0,0.0,0.014417,0.01557,-0.000576,-1.0,0.0,0.041647,0.079348,0.037827,0.01113,0.0,0.0,0.311061,0.119564,0.0,0.0,0.02259,0.0,-0.101242,0.0,0
2022-02-07,32.15,0.124322,0.0,0.0,1.0,0.0,0.013157,0.015087,-0.000965,-1.0,0.0,0.033407,0.071237,0.037921,0.009557,0.0,0.0,0.09538,0.016736,0.0,0.0,0.021178,0.0,-0.199907,0.0,1
2022-02-08,31.83,0.068931,0.0,0.0,1.0,0.0,0.011632,0.014396,-0.001382,-1.0,0.0,0.027294,0.065535,0.038309,0.007724,0.0,0.0,-0.122381,-0.087625,0.0,0.0,0.019113,0.0,-0.074976,0.0,1
2022-02-09,31.95,0.087094,0.0,0.0,1.0,0.0,0.010449,0.013607,-0.001579,-1.0,0.0,0.028353,0.066672,0.038392,0.00644,0.0,0.0,-0.141133,-0.173115,0.0,0.0,0.017906,0.0,-0.165784,0.0,1
